requestID,destination,status,assignee,CreationTime,PROCTime,DONETime,description
JASR0001,FHALL00601,PROC,EMPL0001,5555555555,5555555555,0,trash
JASR0002,FHALL02101,PROC,EMPL0002,5555565555,5555565555,0,trash and recyling
JASR0003,HRETL00202,DONE,EMPL0003,5555575555,5555575555,5555575555,recylcing
JASR0004,FHALL00601,DONE,EMPL0004,5555585555,5555585555,5555585555,recylcing
JASR0005,WELEV00L03,PROC,EMPL0005,5555595555,5555595555,0,trash
JASR0006,CDEPT003L1,PROC,EMPL0006,5555605555,5555605555,0,sanitation
JASR0007,CHALL006L2,DONE,EMPL0007,5555615555,5555615555,5555615555,sanitation
JASR0008,HHALL00703,DONE,EMPL0008,5555625555,5555625555,5555625555,chemical spill
JASR0009,FHALL00901,PROC,EMPL0009,5555635555,5555635555,0,chemical spill
JASR0010,FSERV00201,PROC,EMPL0010,5555645555,5555645555,0,bodily fluids spill
JASR0011,HBATH00102,DONE,EMPL0011,5555655555,5555655555,5555655555,bodily fluids spill
JASR0012,CDEPT002L1,PROC,EMPL0012,5555665555,5555665555,0,trash
JASR0013,CLABS002L1,PROC,EMPL0013,5555675555,5555675555,0,trash and sanitation
JASR0014,xPATI00603,DONE,EMPL0014,5555685555,5555685555,5555685555,sanitation
JASR0015,xPATI00703,PROC,EMPL0015,5555695555,5555695555,0,flooding
JASR0016,FHALL01901,DONE,EMPL0003,1650982914,1650982914,1650982914,Chemical Spills
JASR0017,FHALL01901,DONE,EMPL0002,1650982920,1650982920,1650982920,Bodily Fluids
JASR0018,FDEPT00101,DONE,EMPL0001,1650982975,1650982975,1650982975,Bodily Fluids
