requestID,destination,status,assignee,CreationTime,PROCTime,DONETime,mainCourse,Side,Drink,patientFor
PMSR0001,xPATI00103,PROC,EMPL0001,5555555555,5555555555,0,Hamburger,Soup of the Day,Water,PATT0001
PMSR0002,xPATI00203,DONE,EMPL0002,5555557895,5555557895,5555557895,Ham Roast,French Onion Soup,Water,PATT0002
PMSR0003,xPATI00303,PROC,EMPL0003,5555560235,5555560235,0,Mac and Cheese,Tomato Bisque,Coke,PATT0003
PMSR0004,xPATI00403,DONE,EMPL0004,5555562575,5555562575,5555562575,Spaghetti and Meatballs,Fries,Diet Coke,PATT0004
PMSR0005,xPATI00503,PROC,EMPL0005,5555564915,5555564915,0,Salmon,Onion Rings,Water,PATT0005
PMSR0006,xPATI00603,DONE,EMPL0006,5555567255,5555567255,5555567255,Hamburger,Baked Potato,Water,PATT0006
PMSR0007,xPATI00703,PROC,EMPL0007,5555569595,5555569595,0,Ham Roast,Garden Salad,Milk,PATT0007
PMSR0008,xPATI00803,DONE,EMPL0008,5555571935,5555571935,5555571935,Mac and Cheese,Caesar Salad,Water,PATT0008
PMSR0009,xPATI00803,PROC,EMPL0009,5555574275,5555574275,0,Chicken Caesar Salad,Chicken Noodle Soup,Ginger Ale,PATT0009
PMSR0010,xPATI00103,DONE,EMPL0010,5555576615,5555576615,5555576615,Salmon,Steamed Carrots,Water,PATT0010
PMSR0011,xPATI00203,PROC,EMPL0011,5555578955,5555578955,0,Hamburger,Steamed Greenbeans,Water,PATT0011
PMSR0012,xPATI00303,DONE,EMPL0012,5555581295,5555581295,5555581295,Ham Roast,Fries,Milk,PATT0012
PMSR0013,xPATI00403,PROC,EMPL0013,5555583635,5555583635,0,Mac and Cheese,Onion Rings,Water,PATT0013
PMSR0014,xPATI00503,DONE,EMPL0014,5555585975,5555585975,5555585975,Chicken Caesar Salad,Onion Rings,Water,PATT0014
PMSR0015,xPATI00603,PROC,EMPL0015,5555588315,5555588315,0,Salmon,Fries,Water,PATT0015
