requestID,destination,status,assignee,type
LAUN0001,HBATH00104,PROC,EMPL0001,Linens
LAUN0002,HBATH00204,PROC,EMPL0002,Linens
LAUN0003,xPATI00103,DONE,EMPL0003,Gowns
LAUN0004,xPATI00203,DONE,EMPL0004,Bedding
LAUN0005,xPATI00303,PROC,EMPL0005,Gowns
LAUN0006,xPATI00403,PROC,EMPL0006,Scrubs
LAUN0007,xPATI00503,DONE,EMPL0007,Scrubs
LAUN0008,xPATI00603,DONE,EMPL0008,Coats
LAUN0009,xPATI00703,PROC,EMPL0009,Coats
LAUN0010,xPATI00803,PROC,EMPL0010,Coats
LAUN0011,xPATI00405,DONE,EMPL0011,Coats
LAUN0012,xPATI00505,PROC,EMPL0012,Gowns
LAUN0013,xPATI00605,PROC,EMPL0013,Gowns
LAUN0014,xPATI00705,DONE,EMPL0014,Bedding
LAUN0015,xPATI00805,PROC,EMPL0015,Bedding
