requestID,destination,status,CreationTime,PROCTime,DONETime,assignee,notes,giftType
GDSR0001,xPATI00105,PROC,5555555555,,0,EMPL0001,Get well soon!,FLOWERS
GDSR0002,xPATI00205,DONE,5555556555,,5555556555,EMPL0002,,FOOD
GDSR0003,xPATI00305,PROC,5555557555,,0,EMPL0003,,DRINK
GDSR0004,xPATI00405,DONE,5555558555,,5555558555,EMPL0004,Love you <3,FLOWERS
GDSR0005,xPATI00505,DONE,5555559555,,5555559555,EMPL0005,,FLOWERS
GDSR0006,xPATI00605,PROC,5555560555,,0,EMPL0006,We miss you!,TOY
GDSR0007,xPATI00705,PROC,5555561555,,0,EMPL0007,From the boys,FLOWERS
GDSR0008,xPATI00805,PROC,5555562555,,0,EMPL0008,Come home soon!,DRINK
GDSR0009,xPATI00803,DONE,5555563555,,5555563555,EMPL0009,,TOY
GDSR0010,xPATI00103,DONE,5555564555,,5555564555,EMPL0010,,TOY
GDSR0011,xPATI00203,PROC,5555565555,,0,EMPL0011,I heard you like donuts…,FOOD
GDSR0012,xPATI00303,PROC,5555566555,,0,EMPL0012,,FOOD
