requestID,destination,status,assignee,type
LYSR0001,HBATH00104,PROC,EMPL0001,Linens
LYSR0002,HBATH00204,PROC,EMPL0002,Linens
LYSR0003,xPATI00103,DONE,EMPL0003,Gowns
LYSR0004,xPATI00203,DONE,EMPL0004,Bedding
LYSR0005,xPATI00303,PROC,EMPL0005,Gowns
LYSR0006,xPATI00403,PROC,EMPL0006,Scrubs
LYSR0007,xPATI00503,DONE,EMPL0007,Scrubs
LYSR0008,xPATI00603,DONE,EMPL0008,Coats
LYSR0009,xPATI00703,PROC,EMPL0009,Coats
LYSR0010,xPATI00803,PROC,EMPL0010,Coats
LYSR0011,xPATI00405,DONE,EMPL0011,Coats
LYSR0012,xPATI00505,PROC,EMPL0012,Gowns
LYSR0013,xPATI00605,PROC,EMPL0013,Gowns
LYSR0014,xPATI00705,DONE,EMPL0014,Bedding
LYSR0015,xPATI00805,PROC,EMPL0015,Bedding
