requestID,destination,status,assignee,CreationTime,PROCTime,DONETime,description
MASR0001,FHALL00601,PROC,EMPL0001,5555555555,5555555555,0,Couch is missing a leg
MASR0002,HRETL00202,PROC,EMPL0002,5555557895,5555557895,0,Vending machine does not turn on
MASR0003,WELEV00L01,DONE,EMPL0003,5555560235,5555560235,5555560235,Elevator is stuck at floor 1
MASR0004,CREST001L1,DONE,EMPL0004,5555562575,5555562575,5555562575,Dead light bulb
MASR0005,WELEV00L01,PROC,EMPL0005,5555564915,5555564915,0,Elevator is stuck at floor 1
MASR0006,HDEPT00104,PROC,EMPL0006,5555567255,5555567255,0,Lights near windows are out
MASR0007,HHALL01404,DONE,EMPL0007,5555569595,5555569595,5555569595,Lights are flickering
MASR0008,xPATI00105,DONE,EMPL0008,5555571935,5555571935,5555571935,Guest chair is missing cushion
MASR0009,WELEV00L05,PROC,EMPL0009,5555574275,5555574275,0,Elevator entrance is missing sign
MASR0010,HBATH00105,PROC,EMPL0010,5555576615,5555576615,0,Handicap stall door squeaks when opened
